Date,Time,TT,"Species
",#,Comments/Observations
13-Aug-03,1830,C,seminatrix,1,
13-Aug-03,1830,S,constrictor,1,
14-Aug-03,0823,B,seminatrix,1,NEONATE
14-Aug-03,0823,B,seminatrix,1,NEONATE
14-Aug-03,0823,B,seminatrix,1,NEONATE
14-Aug-03,0823,B,seminatrix,1,NEONATE
14-Aug-03,0823,B,seminatrix,2,NEONATE
14-Aug-03,1930,B,seminatrix,1,
14-Aug-03,1930,B,cemophora,1,
14-Aug-03,0823,C,seminatrix,1,NEONATE
14-Aug-03,0823,C,seminatrix,2,NEONATE
14-Aug-03,0823,S,fasciata,1,NEONATE
15-Aug-03,1010,B,seminatrix,1,NEONATE
15-Aug-03,1010,B,seminatrix,1,NEONATE
15-Aug-03,1010,B,seminatrix,1,NEONATE
15-Aug-03,1010,B,seminatrix,1,NEONATE
15-Aug-03,1800,B,seminatrix,1,NEONATE
15-Aug-03,1800,B,seminatrix,1,NEONATE
15-Aug-03,1010,C,seminatrix,1,
15-Aug-03,1010,C,seminatrix,1,NEONATE
16-Aug-03,1845,S,fasciata,1,
17-Aug-03,1000,B,seminatrix,1,
17-Aug-03,1900,B,seminatrix,1,
17-Aug-03,1000,B,sauritus,1,
17-Aug-03,1000,C,seminatrix,1,
18-Aug-03,0843,B,seminatrix,1,NEONATE
18-Aug-03,0843,B,seminatrix,1,NEONATE
18-Aug-03,0843,B,seminatrix,2,NEONATE
18-Aug-03,1830,B,seminatrix,1,
18-Aug-03,1830,B,seminatrix,1,JUV
19-Aug-03,1810,B,seminatrix,1,NEONATE
19-Aug-03,0741,B,diadophis,1,
19-Aug-03,1810,S,fasciata,1,
20-Aug-03,0903,B,seminatrix,1,
20-Aug-03,0903,B,seminatrix,1,
20-Aug-03,0903,B,seminatrix,1,
20-Aug-03,0903,B,seminatrix,1,
20-Aug-03,1755,B,seminatrix,1,
20-Aug-03,0903,B,diadophis,1,
20-Aug-03,1755,S,constrictor,1,NEONATE
21-Aug-03,0915,B,seminatrix,1,
21-Aug-03,1815,B,seminatrix,1,
21-Aug-03,1815,B,seminatrix,1,
21-Aug-03,1815,B,seminatrix,1,
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,0900,B,seminatrix,1,NEONATE
22-Aug-03,1815,B,seminatrix,1,NEONATE
22-Aug-03,0900,S,constrictor,1,
23-Aug-03,0930,B,seminatrix,1,
23-Aug-03,0930,B,seminatrix,1,
24-Aug-03,0920,B,seminatrix,1,
24-Aug-03,0920,B,seminatrix,1,
24-Aug-03,1800,B,seminatrix,1,NEONATE
25-Aug-03,0841,B,seminatrix,1,NEONATE
25-Aug-03,1800,S,constrictor,1,
26-Aug-03,0842,B,seminatrix,1,NEONATE
26-Aug-03,1804,B,seminatrix,1,NEONATE
26-Aug-03,1804,B,seminatrix,1,NEONATE
26-Aug-03,1804,B,seminatrix,1,NEONATE
26-Aug-03,1804,S,fasciata,1,
27-Aug-03,1800,B,seminatrix,1,RECAP TAIL CLIPPED
27-Aug-03,1800,S,erythrogaster,1,RECECNT REC NOT RTL
28-Aug-03,1000,B,seminatrix,1,
28-Aug-03,1000,B,seminatrix,1,
28-Aug-03,1000,B,seminatrix,1,
28-Aug-03,1845,B,seminatrix,1,NEONATE
28-Aug-03,1845,B,seminatrix,1,NEONATE
28-Aug-03,1845,B,seminatrix,1,NEONATE
28-Aug-03,1845,B,seminatrix,1,NEONATE
28-Aug-03,1845,C,seminatrix,1,NEONATE
28-Aug-03,1845,C,seminatrix,1,NEONATE
28-Aug-03,1845,S,constrictor,1,NEONATE
29-Aug-03,0930,B,seminatrix,1,HATCHLING
29-Aug-03,0930,B,seminatrix,1,HATCHLING
29-Aug-03,1810,B,seminatrix,1,
29-Aug-03,1810,C,seminatrix,1,
29-Aug-03,1810,S,sirtalis,1,
29-Aug-03,1810,S,constrictor,1,
29-Aug-03,1810,S,constrictor,1,
29-Aug-03,1810,S,constrictor,1,
30-Aug-03,0930,B,seminatrix,1,NEONATE
30-Aug-03,0930,B,seminatrix,1,DIB 
30-Aug-03,0930,B,seminatrix,1,NEONATE
30-Aug-03,1800,B,seminatrix,1,
30-Aug-03,1800,S,platirhinos,1,
30-Aug-03,1800,S,constrictor,1,
31-Aug-03,0930,B,seminatrix,1,NEONATE
31-Aug-03,1730,B,seminatrix,1,NEONATE
31-Aug-03,1730,B,seminatrix,1,NEONATE
31-Aug-03,0930,B,fasciata,1,NEONATE
1-Sep-03,1830,B,seminatrix,1,
2-Sep-03,0748,B,seminatrix,1,NEONATE
2-Sep-03,1730,S,fasciata,1,NEONATE
3-Sep-03,0845,C,seminatrix,1,
3-Sep-03,1745,S,constrictor,1,NEONATE
4-Sep-03,1725,B,seminatrix,1,NEONATE
4-Sep-03,0830,S,erytrogramma,1,
4-Sep-03,1725,S,constrictor,1,NEONATE
4-Sep-03,1725,S,constrictor,1,ADULT
5-Sep-03,1800,S,diadophis,1,
9-Sep-03,1645,S,sauritus,1,
9-Sep-03,1645,S,constrictor,1,JUV
9-Sep-03,1645,S,constrictor,1,JUV
10-Sep-03,0915,B,seminatrix,1,NEONATE
10-Sep-03,1810,S,constrictor,1,
11-Sep-03,1630,S,constrictor,1,
12-Sep-03,1730,S,constrictor,1,NEONATE
12-Sep-03,1730,S,constrictor,1,NEONATE
13-Sep-03,1630,S,constrictor,1,
13-Sep-03,1630,S,constrictor,1,
13-Sep-03,1630,S,constrictor,1,REGURGITATED NEONATE
15-Sep-03,0840,B,seminatrix,1,
15-Sep-03,0840,B,sauritus,1,
15-Sep-03,1700,C,seminatrix,1,REC NEONATE LET GO
16-Sep-03,1745,B,sauritus,1,NEONATE  
16-Sep-03,1745,B,piscivorus,1,YOUNG OF YEAR?
16-Sep-03,1745,B,sirtalis,1,YOUNG OF YEAR?
16-Sep-03,1745,S,flagellum,1,NEONATE
16-Sep-03,0850,S,constrictor,1,NEONATE WITH BELLY SCAR
16-Sep-03,1745,S,constrictor,1,
17-Sep-03,1745,B,seminatrix,1,"NEONATE, ANTS ATE"
17-Sep-03,1745,B,floridana,1,
17-Sep-03,1745,B,constrictor,1,NEONATE
17-Sep-03,0905,S,fasciata,1,UNMRKD
17-Sep-03,0905,S,abacura,1,UNMRKD
18-Sep-03,1830,S,constrictor,1,
18-Sep-03,1830,S,constrictor,1,
19-Sep-03,0905,S,fasciata,1,
19-Sep-03,0905,S,constrictor,1,NEONATE
19-Sep-03,1830,S,constrictor,1,
20-Sep-03,1730,S,constrictor,1,NEONATE
21-Sep-03,1730,B,platirhinos,1,NEONATE
21-Sep-03,1730,C,diadophis,1,NEONATE
21-Sep-03,1730,S,constrictor,1,
22-Sep-03,0920,B,seminatrix,1,NEONATE LET GO 
23-Sep-03,1700,S,constrictor,1,
24-Sep-03,0850,S,abacura,1,
24-Sep-03,1625,S,constrictor,1,
25-Sep-03,1745,S,platirhinos,1,NEONATE
26-Sep-03,0900,B,sirtalis,1,
26-Sep-03,1710,S,constrictor,1,NEONATE
26-Sep-03,1710,S,constrictor,1,NEONATE
27-Sep-03,1030,B,seminatrix,1,NEONATE
27-Sep-03,1830,B,sauritus,1,NEONATE
28-Sep-03,1730,S,constrictor,1,NEONATE UNMRKD
29-Sep-03,0930,S,fasciata,1,
29-Sep-03,1700,S,constrictor,1,SUBADULT 
30-Sep-03,1745,S,platirhinos,1,ADULT  
30-Sep-03,1745,S,constrictor,1,NEONATE UNMRKD
30-Sep-03,1745,S,constrictor,1,NEONATE UNMRKD
30-Sep-03,1745,S,constrictor,1,ADULT MRKD
1-Oct-03,0915,B,sauritus,1,NEONATE
1-Oct-03,1740,S,platirhinos,1,
1-Oct-03,1740,S,constrictor,1,
1-Oct-03,1740,S,constrictor,1,
2-Oct-03,0850,S,constrictor,1,NEONATE UNMRKD
2-Oct-03,0850,S,constrictor,1,NEONATE UNMRKD
3-Oct-03,1630,S,platirhinos,1,
4-Oct-03,1900,S,sirtalis,1,
4-Oct-03,1900,S,constrictor,1,NEONATE
4-Oct-03,1900,S,constrictor,1,
5-Oct-03,1635,S,constrictor,1,NEONATE UNMRKD
13-Oct-03,1840,S,piscivorus,1,JUV
13-Oct-03,1840,S,piscivorus,1,
